"Type","Content"
"CEBPHRASE","Ayaw laína pagsabut,"
"TEXT","Don’t take it the wrong way."
"NUMBER","1a"
"CLASS","[B126; b4(1)]"
"TEXT","become mentally deranged."
"CEBPHRASE","Nalaínan (naláin) siya tungud sa labihang kaguul,"
"TEXT","He went off his rocker because of his extreme grief."
"NUMBER","2"
"CLASS","[A13]"
"TEXT","be or feel bad, sick."
"CEBPHRASE","Nagláin ákung ginháwa,"
"TEXT","I feel sick."
"NUMBER","3"
"CLASS","[B]"
"TEXT","get bad, worsen."
"NUMBER","3a"
"CLASS","[B1256; b6]"
"TEXT","be disconcerted, feel distaste."
