"Type","Content"
"CEBWORD","patay"
"WORDTYPE","v"
"CLASS","[A; b7]"
"NUMBER","1"
"TEXT","kill, slay."
"CEBPHRASE","Dì makapatay ning sakíta nímu,"
"TEXT","This sickness won’t kill you."
"CEBPHRASE","Patyun ku siya,"
"TEXT","I’ll kill him."
"NUMBER","2"
"TEXT","put an end to s.t. as if killing it."
"CEBPHRASE","Ang pagkapakyas makapatay sa kadásig,"
"TEXT","Failure can destroy one’s enthusiasm."
"CEBPHRASE","Adtu sa Kamara Báha patya ang balaudnun,"
"TEXT","The bill will be killed in the Lower House."
"CEBPHRASE","Angay patyun nang balitáa,"
"TEXT","That news should be suppressed."
"NUMBER","3"
"TEXT","shut off an engine, light; put out a fire."
"CEBPHRASE","Patya nang sugà,"
"TEXT","Turn off the lights."
"NUMBER","3a"
"TEXT","neutralize chemicals or colors."
"CEBPHRASE","Putì ang ipatay niánang pula nga kulur,"
"TEXT","Neutralize that red color with white."
"NUMBER","3b"
"TEXT","consume time."
"CEBPHRASE","Maáyu ning duláa ipatayg úras,"
"TEXT","This game is good for killing time."
"NUMBER","4"
"CLASS","[A; b]"
"TEXT","whittle s.t. down to reduce its size or smoothen it."
"CEBPHRASE","Patyi ang ngilit sa lamísa,"
"TEXT","Round off the edges of the table."
"NUMBER","5"
"CLASS","[a3]"
"TEXT","be all tails in a game of tossing coins."
"CEBPHRASE","Mapatay na ni rung antúga,"
"TEXT","This toss will be all tails."
"NUMBER","6"
"TEXT","in a game of <i lang=""cebword"">sungkà</i>, drop the last stone in an empty hole."
"NUMBER","7"
"TEXT","in set phrases:"
"CEBWORD","a — sa báhù"
"CLASS","[A2P; a1]"
"TEXT","mask a pungent smell."
"CEBPHRASE","Lamas ang ipatay sa báhù sa isdang langsa,"
"TEXT","Spices can cover the fishy taste of fish."
"CEBWORD","— ug hálas"
"CEBWORD","b1"
"TEXT","for men to urinate."
"CEBWORD","b2"
"TEXT","for men to masturbate."
"CEBWORD","c — sa kabugnaw"
"CLASS","[A; a1]"
"TEXT","heat water until it becomes tepid."
"CEBPHRASE","Patya úsà ang kabugnaw sa túbig nga idígù sa bátà,"
"TEXT","Warm the baby’s water before you bathe him."
"WORDTYPE","a"
"NUMBER","1"
"TEXT","dead."
"CEBPHRASE","Patay na si Tátay,"
"TEXT","My father is dead."
"NUMBER","2"
"TEXT","for s.t. to have been killed, deadened."
"CEBPHRASE","Patay ang ákung pagláum,"
"TEXT","I have no more hope."
"CEBPHRASE","Patay ang makina,"
"TEXT","The engine is dead."
"NUMBER","3"
"TEXT","for coins to come out tails."
"NUMBER","4"
"TEXT","for the last stone to have been dropped in an empty hole in a game of <i lang=""cebword"">sungkà</i>."
"NUMBER","5"
