"Type","Content"
"TEXT","new moon."
"CEBPHRASE","Himatayun ang buwan run. Dì na madúgay patay na,"
"TEXT","We are in the last quarter now. Pretty soon it will be the new moon (no moon)."
"NUMBER","6"
"TEXT","for nits to be hatched (lit. for the eggshell to be dead)."
"NUMBER","7"
"TEXT","be head over heels in love."
"CEBPHRASE","Patay siya nákù,"
"TEXT","She’s head over heels in love with me."
"NUMBER","8"
"TEXT","<i lang=""cebword"">in phrases</i>:"
"CEBWORD","— ug dugù"
"TEXT","do s.t. in an unenthusiastic way."
"CEBPHRASE","Hinay siyang mangulitáwu kay patayg dugù. Kinahanglan hulhúgun,"
"TEXT","He isn’t doing a very good job in courting the girl. He is unenthusiastic and needs prodding."
"CEBWORD","— gútum"
"TEXT","poor as church mice."
"CEBPHRASE","Asa gud sila makapaiskuyla sa ílang mga bátang patay gútum man nà sila?"
"TEXT","How could they send their children to school when they are poor as church mice?"
"CEBWORD","— nga irù"
"TEXT","miserable, wretched."
"CEBPHRASE","Patayng irù ang táwung way kwarta,"
"TEXT","A man who is penniless is miserable."
"CEBWORD","— ug lamì"
"TEXT","having excessive sexual desires."
"CEBPHRASE","Patay kaáyu ug lamì nang bayhána maung kuyawng pangasaw-un,"
"TEXT","It’s dangerous to marry that woman because she has excessive sexual desires."
"CEBWORD","— ug limud"
"TEXT","an inveterate liar."
"CEBWORD","(←)"
"WORDTYPE","n"
"TEXT","intense action of killing."
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A13]"
"TEXT","for several killings to be going on."
"NUMBER","2"
"CLASS","[C; a12]"
"TEXT","fight it out with killing."
"CEBPHRASE","Patáyun nátù ang átung dúmut,"
"TEXT","We’ll settle our hatred by fighting it out to the death."
"CEBWORD","lunud, lúnud —"
"TEXT","die-hard, inveterate."
"CEBPHRASE","Lúnud pátay nga sugarul,"
"TEXT","An inveterate gambler."
"CEBWORD","-an(←)"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[C23; c6]"
"TEXT","for roosters to fight it out to the death."
"NUMBER","2"
"CLASS","[A; a]"
"TEXT","play <i lang=""cebword"">patáyan</i>."
"WORDTYPE","n"
"TEXT","game of betting on heads or tails played by twirling a coin."
"CEBWORD","pataypátay"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A; c]"
"TEXT","do s.t. intensely."
"CEBPHRASE","Pataypatáyun (ipataypátay) nákù ning ákung láwas sa trabáhu arun ku mabúhì,"
"TEXT","I wear myself out working just to live."
"NUMBER","2"
"CLASS","[A; b(1)]"
"TEXT","do, act slowly without energy or enthusiasm."
"CEBPHRASE","Ug magpataypátay ka, mabyaan ka sa trák,"
"TEXT","If you take so long, you’ll miss the bus."
"NUMBER","3"
"CLASS","[AP]"
"TEXT","pretend to be poor when one is rich, be a nobody when one is s.o."
"CEBPHRASE","Nagpapataypátay nang tawhána apan unásis diay,"
"TEXT","That man acts like a nobody but actually he’s an Onassis."
"CEBWORD","patyanay, pinatyánay"
"LINK","pátay"
"CEBWORD","palatyanan"
"WORDTYPE","n"
"NUMBER","1"
"TEXT","place s.t. is killed."
"CEBWORD","— sa utug"
"TEXT","girl used to satisfy one’s sexual desires (lit. s.t. to kill one’s erection on)."
"NUMBER","2"
"TEXT","total part of the body, place in the body which will cause instant death if struck."
"CEBWORD","paN-"
"WORDTYPE","n"
"TEXT","s.t. used to kill."
"CEBPHRASE","Maáyung pamatay sa kágaw kanang sabúna,"
"TEXT","That soap is a good germicide."
