"Type","Content"
"CEBWORD","bábuy<sub>1</sub>"
"WORDTYPE","n"
"TEXT","pig, pork."
"CEBPHRASE","Mahal ang bábuy karun,"
"TEXT","Pork is high now."
"CEBWORD","— ihálas, sulup"
"TEXT","wild pig."
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A12]"
"TEXT","obtain a pig."
"CEBPHRASE","<corr id=""xd20e39045"" title=""Source: Nakababuy"">Nakabábuy</corr> aku ug tulu ka buuk sa pagbatun ku sa íyang anay,"
"TEXT","I got three pigs for taking care of his sow."
"NUMBER","2"
"CLASS","[AP; a2]"
"NUMBER","a"
"TEXT","corner, pin down."
"CEBPHRASE","Nakabábuy (nakapabábuy) ang mga Písi sa mga Múrus sa pulù,"
"TEXT","The <span class=""abbr"" title=""Philippine Constabulary""><abbr title=""Philippine Constabulary"">P.C.</abbr></span> blockaded the Moros on the island."
"CEBPHRASE","Nabábuy kami tungud sa dakung bahà,"
"TEXT","We were blocked in because of the great flood."
"NUMBER","b"
"TEXT","checkmate (in chess)."
"CEBPHRASE","Babúyun nákù ang ímung piyun,"
"TEXT","I’m going to checkmate your pawn."
"NUMBER","c"
"CLASS","[AP; c1]"
"TEXT","tie up capital."
"CEBPHRASE","Ang ákung kwarta nabábuy sa nigusyu,"
"TEXT","My money is tied up in business."
"WORDTYPE","a"
"TEXT","piggish, dirty."
"CEBWORD","— ug balatían"
"TEXT","swinish, having no moral qualms."
"CEBWORD","paka-"
"WORDTYPE","v"
"CLASS","[a12]"
"TEXT","consider, treat like a pig."
"CEBPHRASE","Gipakabábuy lang ku nímu,"
"TEXT","You just treat me like a pig."
"CEBWORD","-an(→)"
"WORDTYPE","n"
"TEXT","piggery."
"WORDTYPE","v"
"CLASS","[A1]"
"TEXT","have, obtain a piggery."
"CEBWORD","-in-"
"WORDTYPE","a"
"NUMBER","1"
"TEXT","like a pig."
"NUMBER","2"
"TEXT","for a scolding to be abusive."
"WORDTYPE","v"
"CLASS","[A; a12]"
"NUMBER","1"
"TEXT","treat like a pig."
"CEBPHRASE","Gibinábuy ku nílag hikut,"
"TEXT","They hog-tied me."
"NUMBER","2"
"TEXT","be mercilessly scolded."
"CEBPHRASE","Gibinábuy ku níyag kasábà,"
"TEXT","He scolded me abusively."
"CEBWORD","mag-r-(→)"
"WORDTYPE","n"
"TEXT","pig-dealer."
