"Type","Content"
"CEBWORD","bag-u"
"WORDTYPE","a"
"NUMBER","1"
"TEXT","new."
"CEBWORD","-ng Túgun"
"TEXT","New Testament."
"NUMBER","2"
"TEXT","modern."
"CEBPHRASE","Ang mga batan-un sa bag-ung panahun agrisíbu,"
"TEXT","The youth nowadays is aggressive."
"CEBWORD","-ng túbù"
"TEXT","the modern generation."
"CEBWORD","-ng túig"
"TEXT","New Year."
"NUMBER","3"
"TEXT","recently, just now."
"CEBPHRASE","Bag-u siyang abut,"
"TEXT","He is a new arrival here."
"CEBPHRASE","Bag-u pa siyang milakaw,"
"TEXT","He just left."
"CEBPHRASE","Bag-u pang gabíi pagsaka sa kawatan,"
"TEXT","It was early evening when the thief entered."
"CEBWORD","karung —"
"TEXT","recently, of late."
"CEBPHRASE","Gidugù siya karung bag-u,"
"TEXT","She recently menstruated."
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[B2]"
"TEXT","be, become new."
"CEBPHRASE","Mubag-u (mabag-u) nga tan-áwun ang sapátus basta limpiyáhan,"
"TEXT","Shoes will look new if you clean them."
"NUMBER","2"
"CLASS","[AP1B1; a]"
"TEXT","change s.t. for the better, become better."
"CEBPHRASE","Dì ka gánì magbag-u,"
"TEXT","If you don’t reform."
"CEBPHRASE","Nagbag-u sila sa ílang panagway,"
"TEXT","They made their faces over anew."
"NUMBER","3"
"CLASS","[A12; c]"
"TEXT","obtain s.t. new."
"CEBPHRASE","Nakabag-u siyag awtu pagkadaug sa swipstik,"
"TEXT","He got a new car when he won the sweepstakes."
"CEBPHRASE","Bag-úhan (baghúan) kug ligid ang ákung dyíp,"
"TEXT","I’ll buy new tires for my jeep."
"CEBPHRASE","Unsa mang gumáha ang ímung ibag-u?"
"TEXT","What brand of tires are you going to replace them with?"
"NUMBER","4"
"CLASS","[b4]"
"TEXT","feel strange, unaccustomed."
"CEBPHRASE","Naglísud pa siya kay gibag-úhan pa sa trabáhu,"
"TEXT","He’s having a hard time because he’s unaccustomed to the work."
"NUMBER","5"
"CEBWORD","-ng túig"
"CLASS","[B256; b4(1)]"
"TEXT","for it to be New Year’s."
"CEBWORD","paN- nga túig"
"WORDTYPE","v"
"CLASS","[A2; c]"
"TEXT","celebrate New Year’s."
"CEBPHRASE","Didtu mi sa Hungkung mamag-ung túig,"
"TEXT","We celebrated New Year’s in H. K."
"CEBWORD","-in-"
"WORDTYPE","a"
"TEXT","modern."
"CEBPHRASE","Ang binag-ung paági sa panguma,"
"TEXT","The modern way of farming."
"WORDTYPE","v"
"CLASS","[B15]"
"TEXT","change."
"CEBPHRASE","Nagbinag-u nga nadátù,"
"TEXT","He changed when he became rich."
"CEBWORD","mabinag-úhun"
"WORDTYPE","a"
"TEXT","fond of modern things."
"CEBWORD","bag-úhay"
"WORDTYPE","a"
"TEXT","short while ago."
"CEBPHRASE","Bag-úhay pa lang giyud tung nilakaw si Ramun,"
"TEXT","Ramon left just a while ago.†"
