"Type","Content"
"CEBWORD","bayà<sub>1</sub>"
"NUMBER","1"
"TEXT","particle giving an admonitary tone."
"NUMBER","a"
"TEXT","<i>with an imperative:</i> make sure that, better do."
"CEBPHRASE","Hinumdumi bayà,"
"TEXT","You’d better remember."
"CEBPHRASE","Sigurúa bayà ha,"
"TEXT","Make sure you do it!"
"NUMBER","b"
"TEXT","<i>with a statement:</i> watch out."
"CEBPHRASE","Mamáak bayà nà,"
"TEXT","Watch out! He bites."
"CEBPHRASE","Ikaw bayà ang nanghilabut, ayaw pamasángil,"
"TEXT","You touched it. Don’t try to make excuses."
"NUMBER","c"
"LINK","bayáay"
"NUMBER","2"
"TEXT","<i>particle with a statement or exclamation:</i> [so-and-so] is different than it should be."
"CEBPHRASE","Tiawtíaw ka bayà,"
"TEXT","You’re joking, though you shouldn’t be."
"CEBPHRASE","Bayà, nagbinátà ka dihà,"
"TEXT","Hmm, you’re acting like a child."
"CEBPHRASE","Kabuútan bayà nímu,"
"TEXT","How good of you, but you shouldn’t have."
"CEBPHRASE","Bayang kusúga níyang midágan, mu rag unsáun siya,"
"TEXT","God! How he ran away. As if I were going to do s.t. to him. <i lang=""cebword"">‘Panginum mu áning kúk, u.’—‘Busug pa bayà ku, bay,’</i> ‘Here, drink this coke.’—‘No thanks, I’m still full.’"
"NUMBER","3"
"TEXT","why should that be the case when ..."
"CEBPHRASE","Wà nay bugas? Nagpalit bayà aku gahápun,"
"TEXT","There’s no rice? Why? I just bought some yesterday."
"NUMBER","4"
"TEXT","<i>particle conceding that s.t. is the case which one didn’t think to be so.</i>"
"CEBPHRASE","Nákug dì ka kamaung mulútù. Lamì bayà,"
"TEXT","I thought you didn’t know how to cook. But I must say it’s good."
"CEBPHRASE","Pagkadakù bayà sa Manílà,"
"TEXT","I did not know Manila was this big."
"CEBWORD","-ay(←)"
"TEXT","<i>particle with a condition:</i> a feared consequence will happen if the condition happens (had happened, were to happen)."
"CEBPHRASE","Bayáay (bayà) na man ug nasakpan pa ta. Prísu giyud,"
"TEXT","God! If we had been caught. It would have meant jail."
