"Type","Content"
"CEBWORD","*banà<sub>1</sub>"
"CEBWORD","ka-, paka-"
"WORDTYPE","v"
"CLASS","[A13; c]"
"CEBWORD","dílì, walà —"
"TEXT","fail to pay attention, remain unconcerned."
"CEBPHRASE","Walà siya magkabanà (magpakabanà) sa ákung mga prublíma,"
"TEXT","He did not pay any attention to my problems."
"CEBPHRASE","Walà giyud níya ikabanà (ipakabanà) ang nahitabù nákù,"
"TEXT","He remained unconcerned about what happened to me."
"CEBWORD","banàbánà"
"WORDTYPE","n"
"TEXT","estimation."
"CEBPHRASE","Sa ímung banàbánà, maáyu ba siyang táwu?"
"TEXT","Do you size him up as a good man?"
"WORDTYPE","v"
"CLASS","[A; a12]"
"TEXT","make an estimate."
"CEBPHRASE","Banàbanáa kun pila,"
"TEXT","Estimate how much it will cost.†"
