"Type","Content"
"CEBWORD","bahù"
"WORDTYPE","a"
"NUMBER","1"
"TEXT","odorous, ill-smelling."
"CEBPHRASE","Limpiyúhi ang kasilyas kay bahù kaáyu,"
"TEXT","Clean the toilet because it stinks."
"NUMBER","2"
"TEXT","having been ‘it’ in a game for a long time."
"CEBWORD","(←)"
"WORDTYPE","n"
"TEXT","smell, odor."
"CEBPHRASE","Ang báhù sa litsun abut sa ámù,"
"TEXT","The smell of the roast pig reaches our place."
"CEBWORD","— nga"
"TEXT","smell of."
"CEBPHRASE","Báhung singut,"
"TEXT","Smell of sweat."
"CEBWORD","— nga paryinti"
"TEXT","having some sort of distant tie of kinship."
"CEBPHRASE","Walà miy báhù nga paryinti. Nagkaparíha lang ang ámung apilyídu,"
"TEXT","We are not related. We just happen to have the same name."
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[B; a2]"
"TEXT","be, become smelly."
"CEBPHRASE","Mubahù ang banig kay giihían man sa bátà,"
"TEXT","The mat will become smelly because the child urinated on it."
"NUMBER","2"
"CLASS","[A12]"
"TEXT","a smell."
"CEBPHRASE","Nakabahù ka ba átung humut nga rúsas?"
"TEXT","Did you smell the fragrance of the roses?"
"NUMBER","b"
"LINK","paniN-: 3."
"NUMBER","3"
"CEBWORD","(→)"
"NUMBER","1"
"CLASS","[B12; a]"
"TEXT","for meat and fruits to rot, spoil."
"CEBPHRASE","Nabahù ang karni kay walà nímu malútù gahápun,"
"TEXT","The meat became spoiled because you did not cook it yesterday."
"NUMBER","2"
"CLASS","[a12]"
"TEXT","cause coconut milk to ferment in making oil."
"CEBPHRASE","Bahúa úsà ang túnù unyà lanáha,"
"TEXT","You first ferment the coconut milk, then make it into oil."
"CEBWORD","tiN-"
"WORDTYPE","v"
"CLASS","[A12; b8]"
"TEXT","perceive odor."
"CEBPHRASE","Nakatimahù ka ba ug patay nga ilagà?"
"TEXT","Do you smell a dead rat?"
"CEBWORD","paniN-(←)"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A23]"
"TEXT","emit odor."
"CEBPHRASE","Nanimáhù kang nangkà,"
"TEXT","You smell of jackfruit."
"NUMBER","1a"
"CEBWORD","-ng kandílà"
"TEXT","death is near (lit. the odor of candles is being emitted—facetious usage)."
"CEBPHRASE","Lúya na kaáyu ang masakitun. Nanimáhù nang kandílà,"
"TEXT","The patient is weak. You can smell the funereal candles."
"NUMBER","2"
"CLASS","[A]"
"TEXT","smell, perceive odor."
"CEBPHRASE","Midágan ang lagsaw dihang nakapanimahù ug táwu,"
"TEXT","The deer ran when it perceived the odor of man."
"NUMBER","3"
"CLASS","[A2]"
"TEXT","find out, get wind of."
"CEBPHRASE","Nanimáhù ug unsang kumbiráha maáyu níyang suhútan,"
"TEXT","He’s finding out what party is good to attend."
"CEBPHRASE","Ag tuntu nakapanimahù (nakabahù) sa ámung mga plánu,"
"TEXT","The fool got wind of our plans."
"CEBWORD","ig-(←)"
"WORDTYPE","n"
"CEBWORD","— nga paryinti"
"TEXT","be in any way a relative of."
"CEBPHRASE","Dílì ka igbáhù nga paryinti ni Títa. Makaminyù mu,"
"TEXT","You are in no way related to Tita. You two can get married."
"CEBWORD","ka-"
"WORDTYPE","n"
"TEXT","stench."
"CEBPHRASE","Ang kabahù sa yánang dílì maagwanta,"
"TEXT","I can’t endure the stench of the pool of mud.†"
